store_cd,amount,quantity
S12007,638761,2099
S13017,748221,2376
S13043,587895,1881
S13052,100314,250
S13016,793773,2432
S14027,714550,2303
S13009,808870,2486
S14022,651328,2047
S13019,827833,2541
S13039,611888,1981
S14046,412646,1354
S13003,764294,2197
S14028,786145,2458
S14045,458484,1398
S13002,727821,2340
S14042,534689,1935
S13004,779373,2390
S13038,708884,2337
S12014,725167,2358
S14021,699511,2231
S14006,712839,2284
S13001,811936,2347
S14023,727630,2258
S14025,755581,2394
S13035,715869,2219
S14048,234276,769
S14012,720600,2412
S14024,736323,2417
S13041,728266,2233
S14026,824537,2503
S14010,790361,2290
S13015,780873,2248
S13008,809288,2491
S14049,230808,788
S14050,167090,580
S13031,705968,2336
S12013,787513,2425
S13044,520764,1729
S14033,725318,2282
S12029,794741,2555
S13037,693087,2344
S12030,684402,2403
S13032,790501,2491
S14034,653681,2024
S14040,701858,2233
S13005,629876,2004
S14047,338329,1041
S14011,805724,2434
S13018,790535,2562
S13020,796383,2383
S13051,107452,354
S14036,203694,635
