customer_id,come_days,buy_amount
CS040214000008,23,None
CS015415000185,22,20153
CS010214000010,22,18585
CS028415000007,21,19127
CS010214000002,21,None
CS017415000097,20,23086
CS016415000141,20,18372
CS021514000045,19,None
CS022515000226,19,None
CS031414000051,19,19202
CS039414000052,19,None
CS014214000023,19,None
CS021515000172,19,None
CS031414000073,18,None
CS007515000107,18,None
CS014415000077,18,None
CS021515000056,18,None
CS032415000209,18,None
CS021515000211,18,None
CS022515000028,18,None
CS011415000006,None,16094
CS016415000101,None,16348
CS030415000034,None,15468
CS021515000089,None,17580
CS034415000047,None,16083
CS006515000023,None,18372
CS038415000104,None,17847
CS015515000034,None,15300
CS032414000072,None,16563
CS011414000106,None,18338
CS001605000009,None,18925
CS009414000059,None,15492
CS035414000024,None,17615
CS007514000094,None,15735
