customer_id,sales_ymd,application_date,elapsed_epoch
CS017515000010,20171117,20150803,72316800.000000
CS019515000097,20190630,20141124,145065600.000000
CS008515000005,20170714,20150216,75945600.000000
CS026414000097,20170809,20150430,71884800.000000
CS034514000008,20181012,20150807,100396800.000000
CS029415000089,20180409,20150723,85622400.000000
CS019411000012,20190314,20141213,134092800.000000
CS015614000006,20190802,20150211,141091200.000000
CS007515000053,20170712,20150325,72576000.000000
CS024615000041,20170729,20150918,58752000.000000
